audio_file,question,language
Q-33.wav,北京大学的创建时间是什么？,zh
Q-35.wav,埃及法老建立了哪些著名的建筑？,zh
Q-36.wav,德累斯顿位于哪个国家？,zh
Q-37.wav,世界上最高的建筑是哪个？,zh
Q-38.wav,位于中国什么地方的大洼地是最大的盐湖？,zh
Q-41.wav,希腊神话中的雅典娜是怎样诞生的？,zh
Q-42.wav,请问丹顶鹤的主要栖息地在哪里？,zh
Q-43.wav,巴黎圣母院位于哪里？,zh
Q-44.wav,巴黎圣母院的建造历时多久？,zh
Q-50.wav,听说喝很多水也不一定会让皮肤没那么干，这是真的吗？,zh
Q-57.wav,复杂电磁干扰中保护设备免受电力系统影响的一种方法是什么？,zh
Q-58.wav,古罗马的政治制度是什么样的？,zh
Q-59.wav,在古罗马的共和时期，谁担任最高行政长官？,zh
Q-60.wav,克罗恩病是啥？它有什么症状，是如何诊断的？,zh
Q-61.wav,得了克罗恩病会容易导致贫血吗？,zh
Q-62.wav,中国的主要宗教有哪些？,zh
Q-63.wav,请介绍一下自然对流和强制对流的概念和区别？,zh
Q-64.wav,请问超导材料的定义是什么？,zh
Q-72.wav,您知道冥王星的质量是多少吗？,zh
Q-73.wav,什么是互联网协议？,zh
Q-74.wav,动物是否拥有共情能力？,zh
Q-75.wav,诺贝尔奖每年颁发几次？,zh
Q-77.wav,古埃及第十八王朝的起止年份是？,zh
Q-78.wav,古代罗马帝国的第一任皇帝是谁？,zh
Q-79.wav,请问，什么是普朗克常数？,zh
Q-80.wav,在哪个世纪开始使用地心说系统？,zh
Q-81.wav,牛顿之前是保持地心说的原则体系的吗？,zh
Q-84.wav,公历2023年10月1日这一天哪里的庆祝活动比较热闹,zh
Q-85.wav,你知道巴黎的著名景点吗？,zh
Q-86.wav,那卢浮宫何时建成的？,zh
Q-87.wav,孟买是印度的首都吗？,zh
Q-88.wav,瓦拉纳西在印度的哪个邦？,zh
Q-89.wav,什么是弹性碰撞？,zh
Q-90.wav,巴黎一共有多少个区？,zh
Q-91.wav,除海鲜和内脏，还有哪些食物与痛风有关？,zh
Q-92.wav,量子力学中的“量子态”是什么意思？,zh
Q-93.wav,什么是量子计算机？,zh
Q-95.wav,介绍ChatGPT的基本概念。,zh
Q-96.wav,水是由什么元素构成的？,zh
Q-97.wav,贝加尔湖是属于哪个国家的？,zh
Q-98.wav,自然界中最常见的元素是什么？,zh
Q-99.wav,欧洲有哪些主要的海？,zh
R01.wav,维生素E是一种强抗氧化剂，但为什么在保护细胞免受氧化应激损害方面，它的效果不及硒？,zh
R02.wav,,zh
R03.wav,根据相对论，质量和能量之间是什么关系？,zh
R04.wav,你好，能解释下地球的自转轴倾斜角吗？,zh
R05.wav,气候变暖对农业有什么影响？,zh
S01.wav,请解释黑洞,zh
S02.wav,什么是量子纠缠？,zh
S03.wav,什么是相对论？,zh
S04.wav,什么是区块链技术？,zh
S05.wav,什么是量子力学？,zh
S06.wav,谁发现氧气的？,zh
S07.wav,请问万有引力定律是谁提出的？,zh
S08.wav,宇宙是如何诞生的？,zh
S09.wav,牛顿三大定律是什么？,zh
S10.wav,什么是气候变化？,zh
Z-00.wav,黑洞是如何形成的？,zh
Z-02.wav,请列出阿尔卑斯山的五个主要国家。,zh
Z-03.wav,能不能解释一下什么是量子纠缠？,zh
Z-04.wav,国际红十字会的创立时间是什么时候？,zh
Z-05.wav,地球自转一圈需要多长时间？,zh
Z-07.wav,中国在2022年冬奥运会上获得了多少枚金牌？,zh
Z-09.wav,硒在酶催化活性中的作用是什么？,zh
Z-11.wav,比特币的开发中是否有包括中国的工程师？,zh
Z-21.wav,电工理论中的“地线”是什么？,zh
Z-23.wav,中国历史上哪位皇帝是唯一一位在泰山封禅的女性？,zh
Z-24.wav,立方米是什么意思？,zh
Z-25.wav,立方米和立方厘米有什么关系？,zh
Z-27.wav,一立方米的水约重多少？,zh
Z-28.wav,请问挪威的首都是哪里？,zh
Z-29.wav,微波炉为什么不能使用金属器皿？,zh
Z-30.wav,谷歌地图的前身是什么？在谷歌收购之前它叫什么名字？,zh
Z-32.wav,在这个每一年一次的诺贝尔颁奖当中有多人共同享有同一个奖项的例子吗？,zh
Z-33.wav,公历2023年10月1日对应的农历是,zh
Z-34.wav,公历2023年10月1日的生肖是什么,zh
Z-36.wav,人体最大的器官是什么？,zh
Z-37.wav,目前世界上信徒最多的宗教是什么？,zh
Z-38.wav,苏迪曼杯是什么？,zh
Z-40.wav,按照行政区划，中国共有几个直辖市？,zh
Z-42.wav,甜杏仁和苦杏仁的产地分别有哪些？,zh
Z-43.wav,化学元素周期表中，元素按照什么顺序排列？,zh
Z-46.wav,故宫有几座城门？名字分别是什么？故宫的中轴线上的主要建筑有哪些？,zh
Z-47.wav,四大发明中，哪种发明最早？,zh
Z-49.wav,隶书在什么朝代成为一种正式字体？隶书是由哪种字体演变而来的？,zh
Z-50.wav,好的，那么毛泽东逝世纪念日是哪一天？,zh
Z-51.wav,人体解剖学中最长的骨头是哪一个？,zh
Z-52.wav,伦敦塔桥是在哪一年建成的？,zh
Z-53.wav,TCP三次握手的步骤是什么？,zh
Z-54.wav,第二次鸦片战争的具体时间是哪年到哪年？,zh
Z-56.wav,12小时制的时间计数方法是怎么来的？,zh
Z-57.wav,5和7之间有多少个完全平方数？,zh
Z-58.wav,哺乳动物的汗腺有什么作用？,zh
Z-62.wav,世界上最高的山是哪座？,zh
Z-63.wav,四大文明古国分别是哪几个国家？,zh
Z-64.wav,你能告诉我关于甲状腺的功能吗？,zh
Z-65.wav,太阳系中的第三颗行星是哪颗？,zh
